Group ID,Level,Label,Text
unknown,P1,,11In relation to the protected characteristic of sex—aa reference to a person who has a particular protected characteristic is a reference to a man or to a woman;ba reference to persons who share a protected characteristic is a reference to persons of the same sex.
unknown,P1,,"121Sexual orientation means a person's sexual orientation towards—apersons of the same sex,bpersons of the opposite sex, orcpersons of either sex.2In relation to the protected characteristic of sexual orientation—aa reference to a person who has a particular protected characteristic is a reference to a person who is of a particular sexual orientation;ba reference to persons who share a protected characteristic is a reference to persons who are of the same sexual orientation."
unknown,P1,,"131A person (A) discriminates against another (B) if, because of a protected characteristic, A treats B less favourably than A treats or would treat others.2If the protected characteristic is age, A does not discriminate against B if A can show A's treatment of B to be a proportionate means of achieving a legitimate aim.3If the protected characteristic is disability, and B is not a disabled person, A does not discriminate against B only because A treats or would treat disabled persons more favourably than A treats B.4If the protected characteristic is marriage and civil partnership, this section applies to a contravention of Part 5 (work) only if the treatment is because it is B who is married or a civil partner.5If the protected characteristic is race, less favourable treatment includes segregating B from others.6If the protected characteristic is sex—aless favourable treatment of a woman includes less favourable treatment of her because she is breast-feeding;bin a case where B is a man, no account is to be taken of special treatment afforded to a woman in connection with pregnancy , childbirth or maternity.7. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8This section is subject to sections 17(6) and 18(7)."
unknown,P1,,"141A person (A) discriminates against another (B) if, because of a combination of two relevant protected characteristics, A treats B less favourably than A treats or would treat a person who does not share either of those characteristics.2The relevant protected characteristics are—aage;bdisability;cgender reassignment;draceereligion or belief;fsex;gsexual orientation.3For the purposes of establishing a contravention of this Act by virtue of subsection (1), B need not show that A's treatment of B is direct discrimination because of each of the characteristics in the combination (taken separately).4But B cannot establish a contravention of this Act by virtue of subsection (1) if, in reliance on another provision of this Act or any other enactment, A shows that A's treatment of B is not direct discrimination because of either or both of the characteristics in the combination.5Subsection (1) does not apply to a combination of characteristics that includes disability in circumstances where, if a claim of direct discrimination because of disability were to be brought, it would come within section 116 (special educational needs).6A Minister of the Crown may by order amend this section so as to—amake further provision about circumstances in which B can, or in which B cannot, establish a contravention of this Act by virtue of subsection (1);bspecify other circumstances in which subsection (1) does not apply.7The references to direct discrimination are to a contravention of this Act by virtue of section 13."
unknown,P1,,"151A person (A) discriminates against a disabled person (B) if—aA treats B unfavourably because of something arising in consequence of B's disability, andbA cannot show that the treatment is a proportionate means of achieving a legitimate aim.2Subsection (1) does not apply if A shows that A did not know, and could not reasonably have been expected to know, that B had the disability."
unknown,P1,,"161This section has effect for the purposes of the application of Part 5 (work) to the protected characteristic of gender reassignment.2A person (A) discriminates against a transsexual person (B) if, in relation to an absence of B's that is because of gender reassignment, A treats B less favourably than A would treat B if—aB's absence was because of sickness or injury, orbB's absence was for some other reason and it is not reasonable for B to be treated less favourably.3A person's absence is because of gender reassignment if it is because the person is proposing to undergo, is undergoing or has undergone the process (or part of the process) mentioned in section 7(1)."
unknown,P1,,"171This section has effect for the purposes of the application to the protected characteristic of pregnancy and maternity of—aPart 3 (services and public functions);bPart 4 (premises);cPart 6 (education);dPart 7 (associations).2A person (A) discriminates against a woman if A treats her unfavourably because of a pregnancy of hers.3A person (A) discriminates against a woman if, in the period of 26 weeks beginning with the day on which she gives birth, A treats her unfavourably because she has given birth.4The reference in subsection (3) to treating a woman unfavourably because she has given birth includes, in particular, a reference to treating her unfavourably because she is breast-feeding.5For the purposes of this section, the day on which a woman gives birth is the day on which—ashe gives birth to a living child, orbshe gives birth to a dead child (more than 24 weeks of the pregnancy having passed).6Section 13, so far as relating to sex discrimination, does not apply to anything done in relation to a woman in so far as—ait is for the reason mentioned in subsection (2), orbit is in the period, and for the reason, mentioned in subsection (3)."
unknown,P1,,"181This section has effect for the purposes of the application of Part 5 (work) to the protected characteristic of pregnancy and maternity.2A person (A) discriminates against a woman if, in or after the protected period in relation to a pregnancy of hers, A treats her unfavourably —abecause of the pregnancy, orbbecause of illness suffered by her in that protected period as a result of the pregnancy.3A person (A) discriminates against a woman if A treats her unfavourably because she is on compulsory maternity leave or on equivalent compulsory maternity leave.4A person (A) discriminates against a woman if A treats her unfavourably because she is exercising or seeking to exercise, or has exercised or sought to exercise, the right to ordinary or additional maternity leave or a right to equivalent maternity leave.5. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .6The protected period, in relation to a woman's pregnancy, begins when the pregnancy begins, and ends—aif she has the right to ordinary and additional maternity leave, at the end of the additional maternity leave period or (if earlier) when she returns to work after the pregnancy;aaif she does not have that right, but has a right to equivalent maternity leave, at the end of that leave period, or (if earlier) when she returns to work after the pregnancy;bif she does not have a right as described in paragraph (a) or (aa), at the end of the period of 2 weeks beginning with the end of the pregnancy.6AFor the purposes of this section—“equivalent compulsory maternity leave” means a period of leave—which is of a substantially similar nature (regardless of its length) to compulsory maternity leave, andwhich is provided for under a statutory or contractual scheme;“equivalent maternity leave” means a period of leave—which is of a substantially similar nature (regardless of its length) to ordinary or additional maternity leave or both, andwhich is provided for under a statutory or contractual scheme.7Section 13, so far as relating to sex discrimination, does not apply to treatment of a woman in so far as—ait is in or after the protected period in relation to her and is for a reason mentioned in paragraph (a) or (b) of subsection (2), orbit is for a reason mentioned in subsection (3) or (4)."
unknown,P1,,"191A person (A) discriminates against another (B) if A applies to B a provision, criterion or practice which is discriminatory in relation to a relevant protected characteristic of B's.2For the purposes of subsection (1), a provision, criterion or practice is discriminatory in relation to a relevant protected characteristic of B's if—aA applies, or would apply, it to persons with whom B does not share the characteristic,bit puts, or would put, persons with whom B shares the characteristic at a particular disadvantage when compared with persons with whom B does not share it,cit puts, or would put, B at that disadvantage, anddA cannot show it to be a proportionate means of achieving a legitimate aim.3The relevant protected characteristics are—age;disability;gender reassignment;marriage and civil partnership;race;religion or belief;sex;sexual orientation."
unknown,P1,,"19A1A person (A) discriminates against another (B) if—aA applies to B a provision, criterion or practice,bA also applies, or would apply, the provision, criterion or practice to—ipersons who share a relevant protected characteristic, andiipersons who do not share that relevant protected characteristic,cB does not share that relevant protected characteristic,dthe provision, criterion or practice puts, or would put, persons with the relevant protected characteristic at a particular disadvantage when compared with persons who do not share the relevant protected characteristic,ethe provision, criterion or practice puts, or would put, B at substantively the same disadvantage as persons who do share the relevant protected characteristic, andfA cannot show that the provision, criterion or practice is a proportionate means of achieving a legitimate aim.2The relevant protected characteristics for the purposes of this section are—age;disability;gender reassignment;marriage and civil partnership;race;religion or belief;sex;sexual orientation."
unknown,P1,,"201Where this Act imposes a duty to make reasonable adjustments on a person, this section, sections 21 and 22 and the applicable Schedule apply; and for those purposes, a person on whom the duty is imposed is referred to as A.2The duty comprises the following three requirements.3The first requirement is a requirement, where a provision, criterion or practice of A's puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.4The second requirement is a requirement, where a physical feature puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.5The third requirement is a requirement, where a disabled person would, but for the provision of an auxiliary aid, be put at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to provide the auxiliary aid.6Where the first or third requirement relates to the provision of information, the steps which it is reasonable for A to have to take include steps for ensuring that in the circumstances concerned the information is provided in an accessible format.7A person (A) who is subject to a duty to make reasonable adjustments is not (subject to express provision to the contrary) entitled to require a disabled person, in relation to whom A is required to comply with the duty, to pay to any extent A's costs of complying with the duty.8A reference in section 21 or 22 or an applicable Schedule to the first, second or third requirement is to be construed in accordance with this section.9In relation to the second requirement, a reference in this section or an applicable Schedule to avoiding a substantial disadvantage includes a reference to—aremoving the physical feature in question,baltering it, orcproviding a reasonable means of avoiding it.10A reference in this section, section 21 or 22 or an applicable Schedule (apart from paragraphs 2 to 4 of Schedule 4) to a physical feature is a reference to—aa feature arising from the design or construction of a building,ba feature of an approach to, exit from or access to a building,ca fixture or fitting, or furniture, furnishings, materials, equipment or other chattels, in or on premises, ordany other physical element or quality.11A reference in this section, section 21 or 22 or an applicable Schedule to an auxiliary aid includes a reference to an auxiliary service.12A reference in this section or an applicable Schedule to chattels is to be read, in relation to Scotland, as a reference to moveable property.13The applicable Schedule is, in relation to the Part of this Act specified in the first column of the Table, the Schedule specified in the second column.Part of this ActApplicable SchedulePart 3 (services and public functions)Schedule 2Part 4 (premises)Schedule 4Part 5 (work)Schedule 8Part 6 (education)Schedule 13Part 7 (associations)Schedule 15Each of the Parts mentioned aboveSchedule 21"
unknown,P1,,"211A failure to comply with the first, second or third requirement is a failure to comply with a duty to make reasonable adjustments.2A discriminates against a disabled person if A fails to comply with that duty in relation to that person.3A provision of an applicable Schedule which imposes a duty to comply with the first, second or third requirement applies only for the purpose of establishing whether A has contravened this Act by virtue of subsection (2); a failure to comply is, accordingly, not actionable by virtue of another provision of this Act or otherwise."
unknown,P1,,"221Regulations may prescribe—amatters to be taken into account in deciding whether it is reasonable for A to take a step for the purposes of a prescribed provision of an applicable Schedule;bdescriptions of persons to whom the first, second or third requirement does not apply.2Regulations may make provision as to—acircumstances in which it is, or in which it is not, reasonable for a person of a prescribed description to have to take steps of a prescribed description;bwhat is, or what is not, a provision, criterion or practice;cthings which are, or which are not, to be treated as physical features;dthings which are, or which are not, to be treated as alterations of physical features;ethings which are, or which are not, to be treated as auxiliary aids.3Provision made by virtue of this section may amend an applicable Schedule."
unknown,P1,,"231On a comparison of cases for the purposes of section 13, 14, 19 or 19A there must be no material difference between the circumstances relating to each case.2The circumstances relating to a case include a person's abilities if—aon a comparison for the purposes of section 13, the protected characteristic is disability;bon a comparison for the purposes of section 14, one of the protected characteristics in the combination is disability.3If the protected characteristic is sexual orientation, the fact that one person (whether or not the person referred to as B) is a civil partner while another is married ... is not a material difference between the circumstances relating to each case.4If the protected characteristic is sexual orientation, the fact that one person (whether or not the person referred to as B) is married to, or the civil partner of, a person of the same sex while another is married to, or the civil partner of, a person of the opposite sex is not a material difference between the circumstances relating to each case."
unknown,P1,,"241For the purpose of establishing a contravention of this Act by virtue of section 13(1), it does not matter whether A has the protected characteristic.2For the purpose of establishing a contravention of this Act by virtue of section 14(1), it does not matter—awhether A has one of the protected characteristics in the combination;bwhether A has both."
unknown,P1,,251Age discrimination is—adiscrimination within section 13 because of age;bdiscrimination within section 19 or 19A where the relevant protected characteristic is age.2Disability discrimination is—adiscrimination within section 13 because of disability;bdiscrimination within section 15;cdiscrimination within section 19 or 19A where the relevant protected characteristic is disability;ddiscrimination within section 21.3Gender reassignment discrimination is—adiscrimination within section 13 because of gender reassignment;bdiscrimination within section 16;cdiscrimination within section 19 or 19A where the relevant protected characteristic is gender reassignment.4Marriage and civil partnership discrimination is—adiscrimination within section 13 because of marriage and civil partnership;bdiscrimination within section 19 or 19A where the relevant protected characteristic is marriage and civil partnership.5Pregnancy and maternity discrimination is discrimination within section 17 or 18.6Race discrimination is—adiscrimination within section 13 because of race;bdiscrimination within section 19 or 19A where the relevant protected characteristic is race.7Religious or belief-related discrimination is—adiscrimination within section 13 because of religion or belief;bdiscrimination within section 19 or 19A where the relevant protected characteristic is religion or belief.8Sex discrimination is—adiscrimination within section 13 because of sex;bdiscrimination within section 19 or 19A where the relevant protected characteristic is sex.9Sexual orientation discrimination is—adiscrimination within section 13 because of sexual orientation;bdiscrimination within section 19 or 19A where the relevant protected characteristic is sexual orientation.
unknown,P1,,"261A person (A) harasses another (B) if—aA engages in unwanted conduct related to a relevant protected characteristic, andbthe conduct has the purpose or effect of—iviolating B's dignity, oriicreating an intimidating, hostile, degrading, humiliating or offensive environment for B.2A also harasses B if—aA engages in unwanted conduct of a sexual nature, andbthe conduct has the purpose or effect referred to in subsection (1)(b).3A also harasses B if—aA or another person engages in unwanted conduct of a sexual nature or that is related to gender reassignment or sex,bthe conduct has the purpose or effect referred to in subsection (1)(b), andcbecause of B's rejection of or submission to the conduct, A treats B less favourably than A would treat B if B had not rejected or submitted to the conduct.4In deciding whether conduct has the effect referred to in subsection (1)(b), each of the following must be taken into account—athe perception of B;bthe other circumstances of the case;cwhether it is reasonable for the conduct to have that effect.5The relevant protected characteristics are—age;disability;gender reassignment;race;religion or belief;sex;sexual orientation."
unknown,P1,,"271A person (A) victimises another person (B) if A subjects B to a detriment because—aB does a protected act, orbA believes that B has done, or may do, a protected act.2Each of the following is a protected act—abringing proceedings under this Act;bgiving evidence or information in connection with proceedings under this Act;cdoing any other thing for the purposes of or in connection with this Act;dmaking an allegation (whether or not express) that A or another person has contravened this Act.3Giving false evidence or information, or making a false allegation, is not a protected act if the evidence or information is given, or the allegation is made, in bad faith.4This section applies only where the person subjected to a detriment is an individual.5The reference to contravening this Act includes a reference to committing a breach of an equality clause or rule."
unknown,P1,,"281This Part does not apply to the protected characteristic of—aage, so far as relating to persons who have not attained the age of 18;bmarriage and civil partnership.2This Part does not apply to discrimination, harassment or victimisation—athat is prohibited by Part 4 (premises), 5 (work) or 6 (education), orbthat would be so prohibited but for an express exception.3This Part does not apply to—aa breach of an equality clause or rule;banything that would be a breach of an equality clause or rule but for section 69 or Part 2 of Schedule 7;ca breach of a non-discrimination rule."
unknown,P1,,"291A person (a “service-provider”) concerned with the provision of a service to the public or a section of the public (for payment or not) must not discriminate against a person requiring the service by not providing the person with the service.2A service-provider (A) must not, in providing the service, discriminate against a person (B)—aas to the terms on which A provides the service to B;bby terminating the provision of the service to B;cby subjecting B to any other detriment.3A service-provider must not, in relation to the provision of the service, harass—aa person requiring the service, orba person to whom the service-provider provides the service.4A service-provider must not victimise a person requiring the service by not providing the person with the service.5A service-provider (A) must not, in providing the service, victimise a person (B)—aas to the terms on which A provides the service to B;bby terminating the provision of the service to B;cby subjecting B to any other detriment.6A person must not, in the exercise of a public function that is not the provision of a service to the public or a section of the public, do anything that constitutes discrimination, harassment or victimisation.7A duty to make reasonable adjustments applies to—aa service-provider (and see also section 55(7));ba person who exercises a public function that is not the provision of a service to the public or a section of the public.8In the application of section 26 for the purposes of subsection (3), and subsection (6) as it relates to harassment, neither of the following is a relevant protected characteristic—areligion or belief;bsexual orientation.9In the application of this section, so far as relating to race or religion or belief, to the granting of entry clearance (within the meaning of the Immigration Act 1971), it does not matter whether an act is done within or outside the United Kingdom.10Subsection (9) does not affect the application of any other provision of this Act to conduct outside England and Wales or Scotland."
unknown,P1,,"301This Part (subject to subsection (2)) applies only in such circumstances as are prescribed in relation to—atransporting people by ship or hovercraft;ba service provided on a ship or hovercraft.2Section 29(6) applies in relation to the matters referred to in paragraphs (a) and (b) of subsection (1); but in so far as it relates to disability discrimination, section 29(6) applies to those matters only in such circumstances as are prescribed.3It does not matter whether the ship or hovercraft is within or outside the United Kingdom.4“Ship” has the same meaning as in the Merchant Shipping Act 1995.5“Hovercraft” has the same meaning as in the Hovercraft Act 1968.6Nothing in this section affects the application of any other provision of this Act to conduct outside England and Wales or Scotland."
unknown,P1,,"311This section applies for the purposes of this Part.2A reference to the provision of a service includes a reference to the provision of goods or facilities.3A reference to the provision of a service includes a reference to the provision of a service in the exercise of a public function.4A public function is a function that is a function of a public nature for the purposes of the Human Rights Act 1998.5Where an employer arranges for another person to provide a service only to the employer's employees—athe employer is not to be regarded as the service-provider, butbthe employees are to be regarded as a section of the public.6A reference to a person requiring a service includes a reference to a person who is seeking to obtain or use the service.7A reference to a service-provider not providing a person with a service includes a reference to—athe service-provider not providing the person with a service of the quality that the service-provider usually provides to the public (or the section of it which includes the person), orbthe service-provider not providing the person with the service in the manner in which, or on the terms on which, the service-provider usually provides the service to the public (or the section of it which includes the person).8In relation to the provision of a service by either House of Parliament, the service-provider is the Corporate Officer of the House concerned; and if the service involves access to, or use of, a place in the Palace of Westminster which members of the public are allowed to enter, both Corporate Officers are jointly the service-provider.9Schedule 2 (reasonable adjustments) has effect.10Schedule 3 (exceptions) has effect."
unknown,P1,,"321This Part does not apply to the following protected characteristics—aage;bmarriage and civil partnership.2This Part does not apply to discrimination, harassment or victimisation—athat is prohibited by Part 5 (work) or Part 6 (education), orbthat would be so prohibited but for an express exception.3This Part does not apply to the provision of accommodation if the provision—ais generally for the purpose of short stays by individuals who live elsewhere, orbis for the purpose only of exercising a public function or providing a service to the public or a section of the public.4The reference to the exercise of a public function, and the reference to the provision of a service, are to be construed in accordance with Part 3.5This Part does not apply to—aa breach of an equality clause or rule;banything that would be a breach of an equality clause or rule but for section 69 or Part 2 of Schedule 7;ca breach of a non-discrimination rule."
unknown,P1,,"331A person (A) who has the right to dispose of premises must not discriminate against another (B)—aas to the terms on which A offers to dispose of the premises to B;bby not disposing of the premises to B;cin A's treatment of B with respect to things done in relation to persons seeking premises.2Where an interest in a commonhold unit cannot be disposed of unless a particular person is a party to the disposal, that person must not discriminate against a person by not being a party to the disposal.3A person who has the right to dispose of premises must not, in connection with anything done in relation to their occupation or disposal, harass—aa person who occupies them;ba person who applies for them.4A person (A) who has the right to dispose of premises must not victimise another (B)—aas to the terms on which A offers to dispose of the premises to B;bby not disposing of the premises to B;cin A's treatment of B with respect to things done in relation to persons seeking premises.5Where an interest in a commonhold unit cannot be disposed of unless a particular person is a party to the disposal, that person must not victimise a person by not being a party to the disposal.6In the application of section 26 for the purposes of subsection (3), neither of the following is a relevant protected characteristic—areligion or belief;bsexual orientation."
unknown,P1,,"341A person whose permission is required for the disposal of premises must not discriminate against another by not giving permission for the disposal of the premises to the other.2A person whose permission is required for the disposal of premises must not, in relation to an application for permission to dispose of the premises, harass a person—awho applies for permission to dispose of the premises, orbto whom the disposal would be made if permission were given.3A person whose permission is required for the disposal of premises must not victimise another by not giving permission for the disposal of the premises to the other.4In the application of section 26 for the purposes of subsection (2), neither of the following is a relevant protected characteristic—areligion or belief;bsexual orientation.5This section does not apply to anything done in the exercise of a judicial function."
unknown,P1,,"351A person (A) who manages premises must not discriminate against a person (B) who occupies the premises—ain the way in which A allows B, or by not allowing B, to make use of a benefit or facility;bby evicting B (or taking steps for the purpose of securing B's eviction);cby subjecting B to any other detriment.2A person who manages premises must not, in relation to their management, harass—aa person who occupies them;ba person who applies for them.3A person (A) who manages premises must not victimise a person (B) who occupies the premises—ain the way in which A allows B, or by not allowing B, to make use of a benefit or facility;bby evicting B (or taking steps for the purpose of securing B's eviction);cby subjecting B to any other detriment.4In the application of section 26 for the purposes of subsection (2), neither of the following is a relevant protected characteristic—areligion or belief;bsexual orientation."
unknown,P1,,"361A duty to make reasonable adjustments applies to—aa controller of let premises;ba controller of premises to let;ca commonhold association;da responsible person in relation to common parts.2A controller of let premises is—aa person by whom premises are let, orba person who manages them.3A controller of premises to let is—aa person who has premises to let, orba person who manages them.4The reference in subsection (1)(c) to a commonhold association is a reference to the association in its capacity as the person who manages a commonhold unit.5A responsible person in relation to common parts is—awhere the premises to which the common parts relate are let (and are not part of commonhold land or in Scotland), a person by whom the premises are let;bwhere the premises to which the common parts relate are part of commonhold land, the commonhold association.6Common parts are—ain relation to let premises (which are not part of commonhold land or in Scotland), the structure and exterior of, and any common facilities within or used in connection with, the building or part of a building which includes the premises;bin relation to commonhold land, every part of the commonhold which is not for the time being a commonhold unit in accordance with the commonhold community statement.7A reference to letting includes a reference to sub-letting; and for the purposes of subsection (1)(a) and (b), a reference to let premises includes premises subject to a right to occupy.8This section does not apply to premises of such description as may be prescribed."
